Producto;IRC;EAN;DESCRIPCION;LOTE;ESTADO INV;ESTADO LOTE;ALMACEN;PASILLO;COLUMNA;NIVEL;DIG;STOCK
0-111-043-111;34007214111;5012874026227;SPECIAL EYES EYELINER (PANAMA);708402;DIS;DIS;COTY;227;027;12;94;60
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;231;20;51;60
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;231;30;53;60
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;231;40;92;60
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;232;20;12;60
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;232;30;24;60
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;232;40;23;60
0-146-176-;99350245344;3616307080699;ADI - VIBES CHILL ZONE BM 236ML;5080;DIS;DIS;COTY;026;251;20;9;1200
0-061-753-;7795646617530;7795646617530;SH - COD UNI CT WAVE1 GRANDE;4310;DIS;DIS;COTY;026;251;40;60;45
0-112-856-;7795646128562;7795646128562;RIM- COD UNI MAKEUP BAR IND V2 FY26;4115;DIS;DIS;COTY;026;251;60;14;60
0-146-176-;99350245344;3616307080699;ADI - VIBES CHILL ZONE BM 236ML;5083;DIS;DIS;COTY;026;252;20;48;1200
0-146-176-;99350245344;3616307080699;ADI - VIBES CHILL ZONE BM 236ML;5080;DIS;DIS;COTY;026;252;30;66;720
0-146-126-;99350245346;3616307080750;ADI - VIBES ZNE BM 236ML;5083;DIS;DIS;COTY;026;252;40;24;812
0-112-400-160;99350227961;3616306361515;RIM - KF BASE HIDR - 160;4282;DIS;DIS;COTY;026;261;03;35;395
0-112-840-300;99350180067;3616304825149;RIM - BASE LASTING FINISH HB 35HS - 300;4017;DIS;DIS;COTY;026;261;04;99;359
0-111-549-001;99350179390;3616304772184;RIM - K&F LASHLOAD MASC - EXT BLACK 001;4256;DIS;DIS;COTY;026;261;30;62;1149
0-190-101-001;99350220019;3616306168640;MF - MAST PREC GEL LIN MIDNGH BLK IV 001;435301;DIS;DIS;COTY;026;261;40;44;357
0-112-840-300;99350180067;3616304825149;RIM - BASE LASTING FINISH HB 35HS - 300;4017;DIS;DIS;COTY;026;261;50;74;108
0-192-069-080;99350101487;3616302638765;MF - MIRACLE FND BRONZE 80;4254;DIS;DIS;COTY;026;261;60;36;95
0-109-042-004;99350200481;3616305499875;RIM - LIP OIL BRILLO LABIAL - 004;4312;DIS;DIS;COTY;026;261;70;1;1440
0-112-726-;7795646127268;7795646127268;RML KIND&FREE RENO MAYORISTA COD UNI;404501;DIS;DIS;COTY;026;261;80;91;5
0-192-202-005;99350212067;3616305711717;MF - MIR PURE LIQ FND MEDIUM 05;4256;DIS;DIS;COTY;026;261;90;61;45
0-361-904-;2036190400007;2036190400007;SH - LOW COST;5429;SCR;DIS;COTY;026;261;95;3;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;5474;SCR;DIS;COTY;026;261;95;29;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;6225;SCR;DIS;COTY;026;261;95;35;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;6227;SCR;DIS;COTY;026;261;95;30;1
0-361-904-;2036190400007;2036190400007;SH - LOW COST;6409;SCR;DIS;COTY;026;261;95;90;1
0-192-031-045;99350029461;3614227962828;MF - MIR TOUCH FND WARM ALMOND 45;416500;DIS;DIS;COTY;026;262;01;7;55
